id_n,Year,CONS_total,vat,vat1,vat2,vat_diff
282252,2018,72555000,3438638,3438638,3717900,279262
275576,2018,33215400,763057,763057,825026,61970
290551,2018,23765000,558360,558360,604299,45939
101523,2018,17542200,486703,486703,526301,39598
59943,2018,24573412,1381184,1381184,1493293,112109
137803,2018,38051320,1632879,1632879,1765438,132559
17273,2018,57967000,3613460,3613460,3906809,293349
281323,2018,29940000,2125874,2125874,2298429,172555
88456,2018,182560236,7851991,7851991,8489343,637352
228962,2018,38203040,1956517,1956517,2115326,158808
152423,2018,46929500,291279,291279,315010,23731
25700,2018,36412000,944193,944193,1020920,76727
52778,2018,107082548,5257366,5257366,5684100,426734
244488,2018,40999200,1638583,1638583,1771595,133012
94129,2018,25004680,1219315,1219315,1318286,98970
102754,2018,16032400,804213,804213,869509,65297
101142,2018,57393000,2609449,2609449,2821259,211811
142107,2018,22265400,801980,801980,867081,65101
154671,2018,69981000,3373189,3373189,3647012,273822
217729,2018,57904000,985541,985541,1065536,79995
269179,2018,20525056,326216,326216,352705,26488
164391,2018,17837600,733732,733732,793297,59566
253664,2018,41411164,1742996,1742996,1884518,141521
216585,2018,54723800,2105647,2105647,2276609,170962
59336,2018,50622000,2879097,2879097,3112795,233698
113007,2018,16560960,356867,356867,385892,29025
111581,2018,27931600,1442894,1442894,1560017,117123
114003,2018,58284280,3167129,3167129,3424231,257102
83722,2018,117514376,2733331,2733331,2955197,221866
154591,2018,10852200,304314,304314,329014,24701
260677,2018,66859180,2279979,2279979,2465125,185147
1872,2018,39801000,1505613,1505613,1627821,122209
72939,2018,90067000,2989861,2989861,3232555,242693
194216,2018,32757000,2220216,2220216,2400429,180212
292083,2018,38367600,1197106,1197106,1295651,98545
28048,2018,46969972,2687532,2687532,2905681,218149
281922,2018,41144628,571269,571269,617639,46369
80587,2018,40816800,1869346,1869346,2021079,151733
18540,2018,42056000,1047813,1047813,1132907,85094
241829,2018,36805640,1458861,1458861,1577309,118448
177251,2018,117797600,4023847,4023847,4350497,326650
250614,2018,56378496,2137600,2137600,2311165,173565
73338,2018,22869400,1012575,1012575,1094764,82190
43354,2018,10774880,175178,175178,189402,14224
283043,2018,18133200,418654,418654,452636,33982
271713,2018,32290000,1369272,1369272,1480414,111142
275073,2018,43012000,1354090,1354090,1464000,109910
283451,2018,59434560,1849739,1849739,1999904,150166
219241,2018,53901200,3397667,3397667,3673476,275809
133899,2018,26493760,755893,755893,817270,61377
191803,2018,179969000,6388245,6388245,6906852,518607
136803,2018,62710600,4145865,4145865,4482404,336540
112910,2018,22388320,1186770,1186770,1283118,96348
228664,2018,53328600,2426739,2426739,2623714,196976
251843,2018,20387484,873074,873074,943945,70871
223622,2018,37799000,1805467,1805467,1952014,146548
73645,2018,139365140,11382626,11382626,12306540,923914
104173,2018,60957200,3269463,3269463,3534871,265408
19900,2018,25735000,824327,824327,891266,66939
235536,2018,34570000,339376,339376,366977,27601
19991,2018,18033400,570991,570991,617347,46356
17807,2018,89041000,3466339,3466339,3747756,281417
164808,2018,57410200,2562199,2562199,2770192,207992
84060,2018,46828000,3593333,3593333,3885000,291667
161250,2018,19707800,524443,524443,567017,42573
241414,2018,43715000,2462059,2462059,2661912,199852
293038,2018,41570200,1145873,1145873,1239945,94073
138487,2018,112701796,4393123,4393123,4749707,356585
78746,2018,34967600,1170306,1170306,1265301,94995
79518,2018,34347200,1204649,1204649,1302429,97780
274612,2018,29857764,1076937,1076937,1164390,87453
267189,2018,18972177,884220,884220,955991,71771
110327,2018,111437400,4298759,4298759,4647728,348969
85011,2018,44460400,2197027,2197027,2375357,178330
141086,2018,36891300,1186216,1186216,1282527,96311
179908,2018,63272600,2426462,2426462,2623504,197042
73536,2018,33947400,1179200,1179200,1274914,95714
146604,2018,116908021,5166007,5166007,5585331,419324
192831,2018,49797150,1634665,1634665,1767378,132713
235333,2018,45012560,1127807,1127807,1219350,91543
124711,2018,27603800,1392791,1392791,1505857,113066
65198,2018,45608600,2145753,2145753,2319921,174168
218210,2018,32027640,952223,952223,1029514,77291
105644,2018,32841200,1003834,1003834,1085314,81480
193316,2018,17118360,411099,411099,444467,33368
60843,2018,19983200,541087,541087,585089,44003
282390,2018,71875076,2639431,2639431,2853754,214323
215494,2018,82510880,3226667,3226667,3488571,261905
24875,2018,26135200,741975,741975,802200,60225
255953,2018,48320400,1772229,1772229,1916079,143850
282110,2018,100341000,6232877,6232877,6738793,505915
284007,2018,22631200,229559,229559,248437,18878
